,repo
0,AdRoll_cantor
1,AmadeusITGroup_sonar-stash
2,Ardesco_driver-binary-downloader-maven-plugin
3,Atmosphere_nettosphere
4,Beh01der_EasyFlow
5,BottegaIT_ddd-cqrs-sample
6,BottegaIT_ddd-leaven-v2
7,Cetsoft_imcache
8,ChannelApe_shopify-sdk
9,Comcast_jrugged
10,Cue_greplin-bloom-filter
11,DaisyDiff_DaisyDiff
12,DannyHoo_desensitized
13,DerekYRC_mini-spring
14,Devskiller_friendly-id
15,Devskiller_jpa2ddl
16,DiUS_java-faker
17,EsotericSoftware_reflectasm
18,EsotericSoftware_yamlbeans
19,ExpediaGroup_adaptive-alerting
20,FasterXML_jackson-annotations
21,FasterXML_jackson-datatype-jsr310
22,FasterXML_jackson-module-afterburner
23,GoogleCloudPlatform_cloud-opensource-java
24,HiveRunner_HiveRunner
25,JakeWharton_DiskLruCache
26,JakeWharton_RxRelay
27,JakeWharton_RxReplayingShare
28,JakeWharton_RxWindowIfChanged
29,JakeWharton_retrofit1-okhttp3-client
30,JamesZBL_java_design_patterns
31,Kevded_example-reactive-spring-kafka-consumer-and-producer
32,KnisterPeter_jreact
33,LatencyUtils_LatencyUtils
34,LearningByExample_reactive-ms-example
35,Lovelcp_spring-boot-mybatis-with-redis
36,Merck_Halyard
37,MicrosoftDocs_pipelines-java
38,MoriTanosuke_glacieruploader
39,Netflix_Surus
40,Netflix_curator
41,NetherlandsForensicInstitute_kafka-spout
42,OPCFoundation_UA-Java-Legacy
43,OpenHFT_Zero-Allocation-Hashing
44,Ordina-Group_microservices-dashboard
45,OrienteerBAP_Orienteer
46,Pablissimo_SonarTsPlugin
47,RNCryptor_JNCryptor
48,RichardWarburton_slab
49,SAP-archive_cloud-espm-v2
50,Simmetrics_simmetrics
51,SonarSource_sonarlint-cli
52,SquareSquash_java
53,Stratio_cassandra-lucene-index
54,Syncleus_aparapi
55,TU-Berlin-DIMA_scotty-window-processor
56,Tanaguru_Contrast-Finder
57,TechPrimers_spring-boot-graphql-query-example
58,ThreeTen_threetenbp
59,ToastShaman_dropwizard-auth-jwt
60,VisualDataWeb_OWL2VOWL
61,Wolfgang-Schuetzelhofer_jcypher
62,Yubico_java-u2flib-server
63,abahgat_suffixtree
64,acogoluegnes_Spring-Batch-Workshop
65,addthis_stream-lib
66,adnovum_sonar-build-breaker
67,adyliu_zkclient
68,alexa_alexa-skills-kit-sdk-for-java
69,alexnederlof_Jasper-report-maven-plugin
70,alibaba_QLExpress
71,alibaba_compileflow
72,alibaba_fastjson
73,alibaba_fastjson2
74,alibaba_spring-context-support
75,alibaba_tamper
76,alibaba_velocity-spring-boot-project
77,alimate_errors-spring-boot-starter
78,amaembo_huntbugs
79,amazon-archives_aws-apigateway-importer
80,americanexpress_nodes
81,amigoscode_spring-boot-essentials
82,amigoscode_spring-boot-security-course
83,amihaiemil_docker-java-api
84,andygibson_datafactory
85,anomaly2104_lld-cab-booking-ola-uber-grab-lyft
86,anomaly2104_lld-parking-lot
87,anthonyu_KeptCollections
88,antkorwin_better-strings
89,apache_servicecomb-saga-actuator
90,apache_servicecomb-toolkit
91,apache_tiles
92,arocketman_Spring-oauth2-jpa-example
