,repo,license
0,AdRoll/cantor,MIT
1,AmadeusITGroup/sonar-stash,MIT
2,Ardesco/driver-binary-downloader-maven-plugin,Apache-2.0
3,Atmosphere/nettosphere,Apache-2.0
4,Beh01der/EasyFlow,Apache-2.0
5,BottegaIT/ddd-cqrs-sample,Apache-2.0
6,BottegaIT/ddd-leaven-v2,Apache-2.0
7,Cetsoft/imcache,Apache-2.0
8,ChannelApe/shopify-sdk,Apache-2.0
9,Comcast/jrugged,Apache-2.0
10,Cue/greplin-bloom-filter,Apache-2.0
11,DaisyDiff/DaisyDiff,Apache-2.0
13,DerekYRC/mini-spring,Apache-2.0
14,Devskiller/friendly-id,Apache-2.0
15,Devskiller/jpa2ddl,Apache-2.0
16,DiUS/java-faker,Apache-2.0
17,EsotericSoftware/reflectasm,BSD-3-Clause
18,EsotericSoftware/yamlbeans,MIT
19,ExpediaGroup/adaptive-alerting,Apache-2.0
20,FasterXML/jackson-annotations,Apache-2.0
23,GoogleCloudPlatform/cloud-opensource-java,Apache-2.0
24,HiveRunner/HiveRunner,Apache-2.0
25,JakeWharton/DiskLruCache,Apache-2.0
26,JakeWharton/RxRelay,Apache-2.0
27,JakeWharton/RxReplayingShare,Apache-2.0
28,JakeWharton/RxWindowIfChanged,Apache-2.0
29,JakeWharton/retrofit1-okhttp3-client,Apache-2.0
30,JamesZBL/java_design_patterns,MIT
32,KnisterPeter/jreact,BSD-2-Clause
33,LatencyUtils/LatencyUtils,BSD-2-Clause
34,LearningByExample/reactive-ms-example,MIT
36,Merck/Halyard,Apache-2.0
37,MicrosoftDocs/pipelines-java,CC-BY-4.0
39,Netflix/Surus,Apache-2.0
40,Netflix/curator,Apache-2.0
41,NetherlandsForensicInstitute/kafka-spout,Apache-2.0
42,OPCFoundation/UA-Java-Legacy,MIT
43,OpenHFT/Zero-Allocation-Hashing,Apache-2.0
44,Ordina-Group/microservices-dashboard,Apache-2.0
45,OrienteerBAP/Orienteer,Apache-2.0
46,Pablissimo/SonarTsPlugin,MIT
47,RNCryptor/JNCryptor,Apache-2.0
48,RichardWarburton/slab,MIT
49,SAP-archive/cloud-espm-v2,Apache-2.0
50,Simmetrics/simmetrics,Apache-2.0
52,SquareSquash/java,Apache-2.0
53,Stratio/cassandra-lucene-index,Apache-2.0
54,Syncleus/aparapi,Apache-2.0
55,TU-Berlin-DIMA/scotty-window-processor,Apache-2.0
58,ThreeTen/threetenbp,BSD-3-Clause
59,ToastShaman/dropwizard-auth-jwt,Apache-2.0
60,VisualDataWeb/OWL2VOWL,MIT
61,Wolfgang-Schuetzelhofer/jcypher,Apache-2.0
62,Yubico/java-u2flib-server,NO_LICENSE
63,abahgat/suffixtree,Apache-2.0
64,acogoluegnes/Spring-Batch-Workshop,Apache-2.0
65,addthis/stream-lib,Apache-2.0
67,adyliu/zkclient,Apache-2.0
68,alexa/alexa-skills-kit-sdk-for-java,Apache-2.0
69,alexnederlof/Jasper-report-maven-plugin,Apache-2.0
70,alibaba/QLExpress,Apache-2.0
71,alibaba/compileflow,Apache-2.0
72,alibaba/fastjson,Apache-2.0
73,alibaba/fastjson2,Apache-2.0
74,alibaba/spring-context-support,Apache-2.0
75,alibaba/tamper,Apache-2.0
76,alibaba/velocity-spring-boot-project,Apache-2.0
77,alimate/errors-spring-boot-starter,Apache-2.0
78,amaembo/huntbugs,Apache-2.0
79,amazon-archives/aws-apigateway-importer,Apache-2.0
80,americanexpress/nodes,Apache-2.0
83,amihaiemil/docker-java-api,BSD-3-Clause
88,antkorwin/better-strings,Apache-2.0
89,apache/servicecomb-saga-actuator,Apache-2.0
90,apache/servicecomb-toolkit,Apache-2.0
91,apache/tiles,Apache-2.0
93,artsok/rerunner-jupiter,Apache-2.0
94,atomix/copycat,Apache-2.0
95,aws/aws-dynamodb-encryption-java,Apache-2.0
96,awslabs/amazon-kinesis-client,Apache-2.0
97,awslabs/dynamodb-streams-kinesis-adapter,Apache-2.0
98,bbeck/token-bucket,Apache-2.0
99,beckchr/staxon,Apache-2.0
100,bedatadriven/jackson-datatype-jts,Apache-2.0
101,brettwooldridge/HikariJSON,Apache-2.0
102,brettwooldridge/SansOrm,Apache-2.0
103,brettwooldridge/SparseBitSet,Apache-2.0
104,bucharest-jug/dropwizard-todo,Apache-2.0
107,cassiomolin/jersey-jwt,MIT
108,cglib/cglib,Apache-2.0
109,chanjarster/spring-test-examples,Apache-2.0
111,chrisgleissner/spring-batch-rest,Apache-2.0
112,code4craft/hello-design-pattern,Apache-2.0
113,cowtowncoder/low-gc-membuffers,NO_LICENSE
114,craigwblake/redline,MIT
115,crossoverJie/distributed-redis-tool,MIT
116,cstettler/ddd-to-the-code-workshop-sample,Apache-2.0
117,cternes/openkeepass,Apache-2.0
118,cutting/trevni,Apache-2.0
119,davidmarquis/redis-scheduler,MIT
120,davidmoten/rxjava-extras,Apache-2.0
121,davidmoten/rxjava-file,Apache-2.0
122,davidmoten/rxjava2-extras,Apache-2.0
123,demoiselle/framework,LGPL-3.0-or-later
125,dschulten/hydra-java,Apache-2.0
129,ef-labs/vertx-jersey,MIT
130,esastack/esa-restlight,Apache-2.0
131,etsy/statsd-jvm-profiler,MIT
132,evsinev/ber-tlv,Apache-2.0
133,exchange-core/exchange-core,Apache-2.0
135,feroult/yawp,MIT
138,gaul/are-we-consistent-yet,Apache-2.0
139,ghillert/botanic-ng,Apache-2.0
140,giltene/PauselessHashMap,Apache-2.0
141,github/maven-plugins,MIT
142,gkopff/gson-jodatime-serialisers,MIT
143,google/closure-stylesheets,Apache-2.0
144,greengerong/prerender-java,MIT
145,grumlimited/geocalc,BSD-3-Clause
147,hazelcast/hazelcast-kubernetes,Apache-2.0
150,hotchemi/LruCache,Apache-2.0
151,hypercube1024/firefly,Apache-2.0
152,hyperledger-archives/quilt,Apache-2.0
153,idealista/format-preserving-encryption-java,Apache-2.0
154,inreachventures/aws-signing-request-interceptor,MIT
155,intuit/wasabi,Apache-2.0
156,jahlborn/jackcess,Apache-2.0
157,jahlborn/sqlbuilder,Apache-2.0
158,jamesmorgan/ReloadablePropertiesAnnotation,MIT
159,janvanbesien/java-ipv6,Apache-2.0
161,jdbc-observations/datasource-proxy,MIT
162,jenkinsci/kubernetes-cd-plugin,MIT
163,jhalterman/concurrentunit,Apache-2.0
164,jirutka/rsql-parser,MIT
165,jirutka/spring-rest-exception-handler,Apache-2.0
168,johannburkard/StringSearch,MIT
169,jorabin/KeePassJava2,Apache-2.0
170,jparsec/jparsec,Apache-2.0
171,julienchastang/charts4j,MIT
172,junkdog/artemis-odb,BSD-2-Clause
173,kayahr/pherialize,MIT
174,keepcosmos/beanmother,Apache-2.0
175,khoubyari/spring-boot-rest-example,MIT
178,kristofa/mock-http-server,Apache-2.0
179,lagodiuk/genetic-algorithm,Apache-2.0
180,larsga/Duke,Apache-2.0
182,locationtech/spatial4j,Apache-2.0
183,logstash/log4j-jsonevent-layout,Apache-2.0
184,magro/kryo-serializers,Apache-2.0
185,mangstadt/biweekly,BSD-2-Clause
186,mangstadt/ez-vcard,NO_LICENSE
187,mboudreau/Alternator,Apache-2.0
188,medallia/Word2VecJava,MIT
189,meixuesong/aggregate-persistence,Apache-2.0
190,merapar/graphql-spring-boot-starter,MIT
191,messenger4j/messenger4j,MIT
192,modelmapper/modelmapper,Apache-2.0
193,momosecurity/rhizobia_J,BSD-3-Clause
194,mongobee/mongobee,Apache-2.0
196,mp911de/logstash-gelf,MIT
197,mpatric/mp3agic,MIT
199,naver/lucy-xss-servlet-filter,Apache-2.0
200,neoremind/easy-mapper,Apache-2.0
201,nurkiewicz/typeof,Apache-2.0
204,opendatalab-de/geojson-jackson,Apache-2.0
205,organicveggie/metrics-statsd,Apache-2.0
206,perwendel/spark,Apache-2.0
209,pivotalsoftware/ESarch,Apache-2.0
210,playframework/netty-reactive-streams,Apache-2.0
211,pveentjer/Multiverse,Apache-2.0
212,qos-ch/reload4j,Apache-2.0
213,quicktheories/QuickTheories,Apache-2.0
214,ragnor/simple-spring-memcached,MIT
215,raml-org/raml-java-parser,Apache-2.0
216,raphaeljolivet/java2typescript,Apache-2.0
217,raydac/j-j-jvm,Apache-2.0
218,resthub/springmvc-router,Apache-2.0
219,rfoltyns/log4j2-elasticsearch,Apache-2.0
220,rjeschke/txtmark,Apache-2.0
221,rkapsi/patricia-trie,Apache-2.0
222,rmuller/infomas-asl,Apache-2.0
224,rometools/rome,Apache-2.0
225,rrice/java-string-similarity,MIT
226,rstoyanchev/spring-websocket-portfolio,Apache-2.0
230,sbtourist/Journal.IO,Apache-2.0
232,scijava/native-lib-loader,NO_LICENSE
233,shazam/shazamcrest,Apache-2.0
234,sidd-harth/kubernetes-devops-security,CC0-1.0
236,smacke/jaydio,Apache-2.0
238,sockeqwe/fragmentargs,Apache-2.0
239,sonian/elasticsearch-jetty,Apache-2.0
240,spotify/apollo,Apache-2.0
241,spotify/dataenum,Apache-2.0
242,spotify/netty-zmtp,Apache-2.0
243,spotify/trickle,Apache-2.0
244,spring-attic/authserver,Apache-2.0
245,spring-attic/spring-cloud-aws,Apache-2.0
247,spullara/cli-parser,Apache-2.0
248,square/javapoet,Apache-2.0
249,square/mimecraft,Apache-2.0
250,stephenc/high-scale-lib,NO_LICENSE
251,swagger-api/swagger-inflector,Apache-2.0
252,szerhusenBC/jwt-spring-security-demo,MIT
253,tcplugins/tcWebHooks,MIT
255,tedyoung/kid-bank,Apache-2.0
258,tools4j/unix4j,MIT
259,trystan/AsciiPanel,MIT
260,tumblr/jumblr,Apache-2.0
261,twitter-archive/cloudhopper-smpp,Apache-2.0
262,twitter-archive/libcrunch,Apache-2.0
263,twitter/hbc,Apache-2.0
264,twitter/joauth,Apache-2.0
265,uwolfer/gerrit-rest-java-client,Apache-2.0
266,vbauer/caesar,Apache-2.0
267,vdenotaris/spring-boot-security-saml-sample,Apache-2.0
268,vidstige/jadb,Apache-2.0
269,vincentrussell/sql-to-mongo-db-query-converter,Apache-2.0
270,virgo47/javasimon,BSD-3-Clause
272,watson-developer-cloud/java-sdk,Apache-2.0
273,wilkinsona/spring-boot-sample-tomcat-jndi,Apache-2.0
274,wkennedy/swagger4spring-web,NO_LICENSE
275,wso2/balana,Apache-2.0
277,xuender/unidecode,MIT
279,youngmonkeys/ezyfox-server,Apache-2.0
280,yuequan1997/watchdog-spring-boot-starter,MIT
281,ywilkof/spark-jobs-rest-client,Apache-2.0
282,zalando/opentracing-toolbox,MIT
283,zapr-oss/druidry,Apache-2.0
