repo_name,build_tool,number_of_external_dependencies,number_of_java_files,number_of_lines_of_code,number_of_modules,number_of_unit_tests
Cetsoft-imcache.yaml,maven,39,120,10039,7,235
AmadeusITGroup-sonar-stash.yaml,maven,30,29,2817,1,174
BottegaIT-ddd-leaven-v2.yaml,maven,34,161,7744,1,4
Devskiller-friendly-id.yaml,maven,19,40,1075,5,33
BottegaIT-ddd-cqrs-sample.yaml,maven,38,147,7707,1,24
ChannelApe-shopify-sdk.yaml,maven,40,125,10370,1,197
Atmosphere-nettosphere.yaml,maven,18,22,4495,2,33
DannyHoo-desensitized.yaml,maven,18,4,678,1,9
DerekYRC-mini-spring.yaml,maven,16,98,3868,1,34
Cue-greplin-bloom-filter.yaml,maven,2,7,1268,1,16
Devskiller-jpa2ddl.yaml,maven,22,22,1054,4,19
Ardesco-driver-binary-downloader-maven-plugin.yaml,maven,40,22,1689,1,89
Comcast-jrugged.yaml,maven,30,102,9629,5,350
AdRoll-cantor.yaml,maven,6,3,1153,1,13
Beh01der-EasyFlow.yaml,maven,2,20,993,1,24
DaisyDiff-DaisyDiff.yaml,maven,8,56,8327,1,22
DiUS-java-faker.yaml,maven,20,102,6188,1,579
EsotericSoftware-reflectasm.yaml,maven,4,0,0,1,0
FasterXML-jackson-datatype-jsr310.yaml,maven,8,47,3688,1,749
EsotericSoftware-yamlbeans.yaml,maven,2,0,0,1,0
HiveRunner-HiveRunner.yaml,maven,38,58,5319,1,295
FasterXML-jackson-annotations.yaml,maven,2,46,5872,1,60
ExpediaGroup-adaptive-alerting.yaml,maven,124,245,16516,5,563
FasterXML-jackson-module-afterburner.yaml,maven,8,36,4780,1,0
JakeWharton-DiskLruCache.yaml,maven,6,3,1216,1,61
GoogleCloudPlatform-cloud-opensource-java.yaml,maven,57,89,10147,5,367
JakeWharton-RxRelay.yaml,maven,6,6,1779,1,64
JakeWharton-RxReplayingShare.yaml,maven,8,1,219,2,30
JakeWharton-RxWindowIfChanged.yaml,maven,9,4,194,2,3
Kevded-example-reactive-spring-kafka-consumer-and-producer.yaml,maven,12,7,189,1,3
JamesZBL-java_design_patterns.yaml,maven,44,162,7689,23,20
JakeWharton-retrofit1-okhttp3-client.yaml,maven,10,1,130,1,9
KnisterPeter-jreact.yaml,maven,4,4,356,1,26
LearningByExample-reactive-ms-example.yaml,maven,12,24,803,1,51
LatencyUtils-LatencyUtils.yaml,maven,4,9,1572,1,9
MoriTanosuke-glacieruploader.yaml,maven,38,21,2005,4,54
Merck-Halyard.yaml,maven,41,42,11151,7,264
Netflix-Surus.yaml,maven,8,5,1027,1,10
MicrosoftDocs-pipelines-java.yaml,maven,2,1,12,1,2
Ordina-Group-microservices-dashboard.yaml,maven,19,48,2631,3,77
Lovelcp-spring-boot-mybatis-with-redis.yaml,maven,12,7,290,1,1
Pablissimo-SonarTsPlugin.yaml,maven,22,23,1875,1,113
OrienteerBAP-Orienteer.yaml,maven,76,973,65067,1,126
